epoch,time,accuracy,cores
1,2.60933e+07,0.859667,1
2,3.96099e+07,0.868667,1
3,5.32042e+07,0.817,1
4,6.67198e+07,0.878,1
5,8.01178e+07,0.870667,1
6,9.36132e+07,0.869667,1
7,1.07055e+08,0.891,1
8,1.20512e+08,0.870667,1
9,1.34013e+08,0.899333,1
10,1.47461e+08,0.896333,1
11,1.61082e+08,0.89,1
12,1.74711e+08,0.895667,1
13,1.88305e+08,0.865,1
14,2.01875e+08,0.884333,1
15,2.15647e+08,0.89,1
16,2.29238e+08,0.882,1
17,2.42853e+08,0.887333,1
18,2.56451e+08,0.888,1
19,2.7004e+08,0.880667,1
20,2.83667e+08,0.892667,1
