epoch,time,accuracy,cores
1,3.48824e+07,0.895667,4
2,5.72912e+07,0.901667,4
3,8.35969e+07,0.895333,4
4,1.07409e+08,0.895,4
5,1.31812e+08,0.889333,4
6,1.60301e+08,0.895333,4
7,1.9575e+08,0.9,4
8,2.20196e+08,0.905333,4
9,2.53224e+08,0.902667,4
10,2.77962e+08,0.902667,4
11,3.02592e+08,0.905,4
12,3.35619e+08,0.904,4
13,3.68234e+08,0.901333,4
14,4.0254e+08,0.893,4
15,4.27256e+08,0.899667,4
16,4.58246e+08,0.903,4
17,4.9322e+08,0.906,4
18,5.18168e+08,0.902667,4
19,5.53227e+08,0.902667,4
20,5.7775e+08,0.901667,4
